==================================================================
THE OFFICIAL BABYLON 5 CHARACTER LIST
Copyright 1994-1996 Astralight Productions
Compiled by Troy A. Rutter (techy@iastate.edu)
Version 3.22
Last Update: 1/10/96
Covers All of the First Season and Pilot: "The Gathering" - "Chrysalis"
Covers All of Second Season: "Points of Departure" - "The Fall of Night"
Covers Third Season:  "Matters of Honor" - "Passing through Gethsemane"
Permission granted for transmission to electronic information and
        retrieval systems but not for publication in any compilation, be it
        written or electronic, or journal without written permission from
        the author.
Additions/Corrections should be sent to techy@iastate.edu
Compiled by Troy A.. Rutter (techy@iastate.edu)
------------------------------------------------------------------

---------------------------LIST by CHARACTER ---------------------

CHARACTER NAME                ACTOR NAME            EPISODES
Aria Tensus                   McKellar, Danica      7
Ashan                         Sullivan, Sean        36
                                 Gregory
Ashok                         Hendrickson, Mark     9
B4 Guard                      Costa, Frank          20
Bartender                     Cressida, Kathryn     18,30,34
Bartender                     Woren, Dan            40
Beldon, Alisa                 Una, Grace            17
Ben Zayn, Colonel Ari         Martin, Gregory       16
Benjamin Kyle, Dr.            Sekka, Johnny         0
Benson                        Youngs, Jim           8
Bester                        Koenig, Walter        6,30
Biggs, Malcolm                Rogers, Tristan       7
Brother Edward                Dourif, Brad          48
Brother Theo                  Turenne, Louis        46,48
Business Man #1               Parker, F. William    0
Business Man #2               Sage, Dave            0
Business Person               Brunt, Natalie        48
Businessman                   Page, Kevin           6
Businessman #1                Kirby, Randall        5
Businessman #2                Von Hicks, Erich      5
                                 Martin
Butz                          Norris, Mike          3
Caliban                       Stroud, Don           14
Captain Ellis Pierce          Canada, Ron           19
Captain Jack Maynard          Tamblyn, Russ         26
Captain John Sheridan         Boxleitner, Bruce     23-48
Captain, Narn                 Hendrickson, Mark     1,24
Captain, Narn                 McKenzie, Michael     6,12
Captain, Narn                 Grinn, Sandey         34
Carlson, Robert               Kilpatrick, Patrick   46
Carn Mollari                  Trencher, Peter       1
Carolyn Sykes                 Baron, Blaire         0
Cart Owner                    O'Brien, Patrick      17
Carter, Amanda                Barbeau, Adrienne     28
Catherine Sakai               Nickson, Julia        5-6,22
Centauri                      Folger, Mark          48
Centauri #1                   Austin, Jeff          1
Centauri #1                   Ainsley, Paul         34
Centauri #1                   Chiros, Jim           43
Centauri Emperor Turhan       Bey, Turhan           31
Centauri Envoy                Duvall, Vincent       36
Centauri Merchant             Sage, David           34
Centauri Noble                Hunt, William Dennis  39
Centauri Prime Minister       Throne, Malachi       31
   Malachi
Centauri Senator              London, Damian        21
Chase, Mr.                    Kehler, Jack          43
Cirrus, Mariah                Johnson, Anne-Marie   27
Clark, Morgan                 McGurk, Gary          22
Clark, President              McGurk, Gary          24
Cole, Marcus                  Carter, Jason         45
Colonel Ari Ben Zayn          Martin, Gregory       16
Comedy                        Letchworth, Drew      16
Comm Tech                     Delgado, Kim          26
Commander Jeffrey Sinclair    O'Hare, Michael       0-22,31
Commander Susan Ivanova       Christian, Claudia    26-48
Connally, Neeoma              Boyer, Katy           12
Cop, Psi                      Levitt, Judy          30
Cop, Psi                      Ames, Granville       37
Cop, Psi                      Walker, Andrew        45
Cop, Thirteen/Psi             Grindlay, Annie       28
Corey, Guinevere              Brown, Julie Caitlin  36
Correlilmurzon                Abercrombie, Ian      34
Corwin, 2nd Lt. David         Cox, Joshua           47
Cotto, Vir                    Furst, Stephen        1,3,5,7,15,22-25,27,29,
                                                       31,34,36,38,39,43-44,
                                                       47
Council #1, Grey              Hendrickson, Mark     8
Council #2, Grey              Hendrickson, Mark     20
Cramer, Mary Ann              Healy, Patricia       4,12
Cranston, Derek               Casey, Bernie         35
Customer, Alien               McKenzie, Michael     36
Customer, Human               Harold, Eliott        36
Customer, Human/Alien         Hendrickson, Mark     36
Customs Guard                 Yeuell, Paul          4
Customs Guard                 Williams, Lynn Red    13
Customs Guard #1              McGuire, Bryan        31
                                 Michael
Cutter                        Donaldson, Tom        11
Cynthia Torqueman             Zimmer, Kim           37
D'Ath, Ko                     Woronov, Mary         3
Daggair                       Nettleson, Lois       29
Dancer                        Mills, Katherine      3
David Corwin, 2nd Lt.         Cox, Joshua           47
David Endawi                  Smallwood, Tucker     45
Deeron                        Anglin, Jennifer      23
Del Varner                    Fleck, John           0
Delenn                        Furlan, Mira          0-2,5,7,8,10,13,15,17-20,
                                                       22-24,26,29-30,32-34,
                                                       36-38,40-48
Delta 7                       McCoy, Douglas E.     1
Delvientos, Dock Supervisor   Rey, Jose             12,37
   Eduardo
Derek Cranston                Casey, Bernie         35
Derek Mobotabwe               Bensing, Langdon      18
Deuce                         Sanderson, William    15
Devereaux                     Conery, Edward        22,25
Dock Supervisor Eduardo       Rey, Jose             12,37
   Delvientos
Doctor                        Malek-Yonan, Rosie    40
Dodger, P.F.C.                Marshall, Marie       32
Dome Tech                     Robertson, Marianne   5,7
Dome Tech #1                  Robertson, Marianne   6,13
Dome Tech #2                  Cox, Joshua           13
Dome Tech #3                  Brabec, Anita         13
Dome Tech #3                  Delgado, Kim          23
Dr. Benjamin Kyle             Sekka, Johnny         0
Dr. Everett Jacobs            Steedman, Tony        35
Dr. Gonzales                  Betancourt, Anne      47
Dr. Goyokin                   Yashima, Momo         3
Dr. Laura Rosen               Lockhart, June        21
Dr. Lazarenn                  Norton, Jim           40
Dr. Stephen Franklin          Biggs, Richard        2,4,7-11,15,17,19,21-27,
                                                       29-40,41-42,45-48
Dr. Tasaki                    Ishida, Jim           18
Dr. Vance Hendricks           McCallum, David       4
Draal                         Turenne, Louis        18-19
Draal                         Schuck, John          42
Drake, Nelson                 Teague, Marshall      4
Drazi #1                      McKenzie, Michael     46
Drazi #2, Green               Chapman, Jonathan     25
Drazi Ambassador              Strauss, Kim          44
Drazi Pilot                   Chapman, Jonathan     45
Drazi, Green                  Strauss, Kim          25
Drazi, Purple                 Bradley, Neil         25
Du'Rog                        Hendrickson, Mark     5
Earth Fighter                 Dowe, Don             6
Earthforce Liaison            Coyle, Kelly          18
Eduardo Delvientos, Dock      Rey, Jose             12,37
   Supervisor
Edward, Brother               Dourif, Brad          48
Elise Voudreau, Senator       Walter, Jessica       28
Elizabeth Sheridan            Leech, Beverly        24
Ellis Pierce, Captain         Canada, Ron           19
Elric                         Ansara, Michael       25
Emperor Turhan, Centauri      Bey, Turhan           31
Endawi, David                 Smallwood, Tucker     45
Ensign                        Strauss, Kim          23
Envoy, Centauri               Duvall, Vincent       36
Eric                          Barnett, Steven R.    0
Everett Jacobs, Dr.           Steedman, Tony        35
Fighter #1                    Mathis, Lee           13
Fighter #2                    McCoy, Douglas E.     13
Fighter, Earth                Dowe, Don             6
First Man                     Bennett, Douglas      41
Flinn, Mr.                    Flinn, John           15
Franke                        Morshower, Glenn      34
Franklin, Dr. Stephen         Biggs, Richard        2,4,7-11,15,17,19,21-27,
                                                       29-40,41-42,45-48
Franklin, General Richard     Winfield, Paul        32
Frederick Lantze              Dotrice, Roy          44
G'Dok                         Smith, Michael Bailey 47
G'Kar                         Katsulas, Andreas     0-1,3,5-7,9-13,22-24,27,29,
                                                       31,34,37,42-47
G'Sten, Warmaster             Sheppard, W. Morgan   42
Gajic, Aldous                 Warner, David         15
Galus, Ray                    Kimbro, Art           26
Garibaldi's Aide              Bruton, MaCaulay      6,22,24
Garibaldi, Security Chief     Doyle, Jerry          0-48
   Michael
General Miller                Farmer, Frank         16
General Netter                Perry, Rod            11
General Richard Franklin      Winfield, Paul        32
General William Hague         Foxworth, Robert      23,33
Gera Akshi                    Peterson, Laura       3
Girl, Markab                  Secrist, Bluejean     40
                                 Ashley
Gonzales, Dr.                 Betancourt, Anne      47
Goyokin, Dr.                  Yashima, Momo         3
Gray, Harriman                Combs, Jeffrey        16
Green Drazi                   Strauss, Kim          25
Green Drazi #2                Chapman, Jonathan     25
Grey Council #1               Hendrickson, Mark     8
Grey Council #2               Hendrickson, Mark     20
Guard                         Rizzoli, Tony         4
Guard                         Jung, Calvin          5
Guard                         Banks, Joe            8
Guard                         McBride, Kevin        21
Guard                         Riojas, John          22
Guard                         Tabata, Warren        24-25,27
Guard                         Manzoni, Mike         40
Guard                         Kelly, Michael        43
                                 Francis
Guard #1                      Darling, David D.     2
Guard #1 [Jay], Security      Johnson, Rick         46
Guard #1, Customs             McGuire, Bryan        31
                                 Michael
Guard #1, Security            Wrangler, Greg        23
Guard #2                      Henning, Ted W.       2
Guard #2                      McGuire, Bryan        35
                                 Michael
Guard #2, Security            Valinote, Thomas      23
Guard #2, Security            Simmons, Tom          46
Guard, B4                     Costa, Frank          20
Guard, Customs                Yeuell, Paul          4
Guard, Customs                Williams, Lynn Red    13
Guard, Second                 Crowley, David L.     21
Guard, Security               Hutchison, Daniel     4
Guard, Security               Porro, Mark S.        6
Guard, Security               Shishino, Fumi        8
Guard, Security               Barnett, Craig        18
Guard, Security               Williams, Bergen      22
Guard, Security               Simms, George         41
Guerra                        Wasser, Ed            0
Guest Liaison                 Gabrielli, Elisa      6
                                 Pensler
Guinevere Corey               Brown, Julie Caitlin  36
Gunman #1                     Lowe, Tom             3
Gyor                          Courtney, James Jude  14
Hague, General William        Foxworth, Robert      23,33
Hampton, Lise                 Gentile, Denise       19-20
Harriman Gray                 Combs, Jeffrey        16
Head Waiter                   Robinson, Glenn       5
Hedronn                       Sachs, Robin          23,33
Hendricks, Dr. Vance          McCallum, David       4
Hernandez, Maya               Gallardo, Silvana     10
Hidoshi, Senator              Aleong, Aki           9,12,19
Horn, Abel                    Beck, Michael         28
Hostage                       Robertson, Marianne   0
Human                         Craig, Andrew         40
Human                         Thomas, Craig         43
Human Customer                Harold, Eliott        36
Human/Alien Customer          Hendrickson, Mark     36
Human/Minbari Kosh            Patton, Joshua        44
Hunter #2, Soul               Snyder, John          2
Hunter, The Soul              Sheppard, W. Morgan   2
ISN Reporter                  Egan, Maggie          11,32,40
ISN Reporter                  Kasdorf, Lenore       14,18-19
ISN Reporter                  Hutton, Rif           42
Ironheart, Jason              Young, William Allen  6,30
Isogi, Taro                   Shigeta, James        28
Ivanov, Andrei                Phalen, Robert        3,14
Ivanova, Commander Susan      Christian, Claudia    26-48
Ivanova, Lt. Commander Susan  Christian, Claudia    1-25
Ivanova, Sofie                Chambers, Marie       16
Jack Maynard, Captain         Tamblyn, Russ         26
Jacobs, Dr. Everett           Steedman, Tony        35
Jaddo, Urza                   Argenziano, Carmen    39
Janice Rosen                  McNeil, Kate          21
Jason Ironheart               Young, William Allen  6,30
[Jay], Security Guard #1      Johnson, Rick         46
Jeffrey Sinclair, Commander   O'Hare, Michael       0-22,31
Jha'dur                       Douglas, Sarah        9
"Jinxo" / Thomas              Booker, Tom           15
John Sheridan, Captain        Boxleitner, Bruce     23-48
Johnny                        Graas, John Christian 37
Kalain                        Grove, Richard        23
Kalika, Ambassador            Curtis, Robin         9
Karl Mueller                  Rolston, Mark         21
Keffer, Lt. Warren            Rusler, Robert        31,36,40,44
Keffer, Warren                Rusler, Robert        23,27
Kelsey                        Waterman, Felicity    6
Kemmer, Lianna                Thomas, Elaine        11
Kha'Mak                       Bradley, Neil         31
Kiro, Lord                    Graham, Gerrit        13
Kiron Maray                   Eastman, Rodney       7
Kleist, Pvt.                  Hunter, Morgan        32
Knight One                    Scott, Judson         8
Knight Two                    Neame, Christopher    8
Ko D'Ath                      Woronov, Mary         3
Kosh Naranek                  Sirag, Scott          0
Kosh Naranek                  Chamberlain, Ardwight 1,7,9-10,13,15,22,24,31,
                                                       33,35-36,38,41,43,45,
                                                       48
Kosh, Human/Minbari           Patton, Joshua        44
Koslov, Rabbi                 Bikel, Theodore       14
Krantz, Major                 Broadhurst, Kent      20
Kyle, Dr. Benjamin            Sekka, Johnny         0
Ladira, Lady                  Olster, Fredi         13
Lady Ladira                   Olster, Fredi         13
Lantze, Frederick             Dotrice, Roy          44
Large Man                     Stewart, Nils Allen   45
Large, P.F.C.                 Foree, Ken            32
Laura Rosen, Dr.              Lockhart, June        21
Laurel Takashima              Tomita, Tamlyn        0
Lazarenn, Dr.                 Norton, Jim           40
Lennier                       Mumy, Bill            5,9,15,16,21,22-24,29,31,
                                                       36,38,40,43-46,48
Liaison, Earthforce           Coyle, Kelly          18
Liaison, Guest                Gabrielli, Elisa      6
                                 Pensler
Lianna Kemmer                 Thomas, Elaine        11
Lianna, Young                 Wake, Robin           11
Lise Hampton                  Gentile, Denise       19-20
Londo Mollari                 Jurasik, Peter        0,1,3,5,7,9-13,15,18,19,
                                                       21-25,27,29,31,34,36-
                                                       39,42,44-48
Lord Kiro                     Graham, Gerrit        13
Lord Refa                     Forward, William      39,42
Lou Welch                     Crowley, David L.     11,16,24-25,29,32
Lt. Commander Susan Ivanova   Christian, Claudia    1-25
Lt. David Corwin, 2nd         Cox, Joshua           47
Lt. Ramirez                   Corri, Nick           33
Lt. Warren Keffer             Rusler, Robert        31,36,40,44
Lurker                        Bergeron, Philippe    21
Lurker                        Loffler, Gianin       30
Lurker                        Reiser, Damon C.      35
Lurker                        Larimore, Jason       46
Lurker #1                     Burnette, Liz         22
Lurker #2                     Loffler, Gianin       22
Lyta Alexander                Tallman, Patricia     0,41,48
M'ola                         O'Neil, Tricia        10
Macabee, Pierce               Hyde-White, Alex      38
Major Krantz                  Broadhurst, Kent      20
Major Plug, Sgt.              Cutrona, Ryan         32
Malachi, Centauri Prime       Throne, Malachi       31
   Minister
Malcolm                       Keith, Robert         48
Malcolm Biggs                 Rogers, Tristan       7
Man                           Bentley, Jim          2
Man                           Kluger, Garry         13
Man                           McGuire, Brian        29
                                 Michael
Man                           Allen, Eddie          30
Man #1, Business              Parker, F. William    0
Man #2, Business              Sage, Dave            0
Man, First                    Bennett, Douglas      41
Man, Large                    Stewart, Nils Allen   45
Man, Obnoxious                Flinn, John           46
Man, Panicked                 Rosales, Tommy        20
Man, Running                  De La Paz, Danny      41
Man, Security                 Henry, Richard        17
Maray, Kiron                  Eastman, Rodney       7
Marcus Cole                   Carter, Jason         45
Mariah Cirrus                 Johnson, Anne-Marie   27
Mariel                        Valk, Blair           29
Markab Ambassador             Strauss, Kim          27,40
Markab Girl                   Secrist, Bluejean     40
                                 Ashley
Markab Mother                 Adair, Diane          40
Markab Victim                 McKenzie, Michael     40
Mary Ann Cramer               Healy, Patricia       4,12
Matthew Stoner                Szarabajka, Keith     29
Max                           Moll, Richard         35
Maya Hernandez                Gallardo, Silvana     10
Mayan, Shaal                  Grahn, Nancy Lee      7
Maynard, Captain Jack         Tamblyn, Russ         26
Med Tech                      Kiriyama-Lem, James   22,24
Med Tech                      Neuman, Jani          41
Med Tech                      McGee, Gwen           46
Med Tech                      Shelby, Larita        47
Med Tech #1                   Attell, Toni          2
Medlab Tech                   Kiriyama-Lem, James   27
Merchant                      Silver, Robert        35
Merchant #1                   Fega, Rus             23
Merchant #2                   Guillory, Bennet      23
Merchant, Centauri            Sage, David           34
Michael Garibaldi, Security   Doyle, Jerry          0-48
   Chief
Migo                          McKenzie, Michael     14
Mila Shar                     Adair, Diane          7
Miller, General               Farmer, Frank         16
Minbari #2                    Chapman, Jonathan     36
Minbari #3                    Bradley, Neil         36
Mirriam Runningdear           Lodge, Linda          15
Mitch                         Hamilton, Rick        44
Mitchell                      Williams, Justin      8
Mobotabwe, Derek              Bensing, Langdon      18
Mollari, Carn                 Trencher, Peter       1
Mollari, Londo                Jurasik, Peter        0,1,3,5,7,9-13,15,18,19,
                                                       21-25,27,29,31,34,36-
                                                       39,42,44-48
Morden                        Wasser, Ed            13,22,24,38,45
Morgan Clark                  McGurk, Gary          22
Morishi                       Tagawa, Cary-Hiroyuki 46
Mother                        Wing, Leslie          37
Mother, Markab                Adair, Diane          40
Mother, Narn                  Adair, Diane          43
Mr. Chase                     Kehler, Jack          43
Mr. Flinn                     Flinn, John           15
Mr. Welles                    Vickery, John         44
Mueller, Karl                 Rolston, Mark         21
Muta-Do, The                  Oh, Soon-Teck         14
Na'Far                        Macht, Stephen        47
Na'Kal                        Sachs, Robin          44
Na'Toth                       Brown, Caitlin        5,9,12,17,22
Na'Toth                       Adams, Mary Kay       23,34
Naranek, Kosh                 Sirag, Scott          0
Naranek, Kosh                 Chamberlain, Ardwight 1,7,9-10,13,15,22,24,31,
                                                       33,35-36,38,41,43,45,
                                                       48
Narn                          Teague, Marshall      33
Narn #1                       Hardin, Joy           5
Narn #1                       Darga, Christopher    34
Narn #1                       Hendrickson, Mark     43-44
Narn #1                       Bradley, Neil         47
Narn #2                       Bradley, Neil         42
Narn #2                       Strauss, Kim          43
Narn #2                       Hendrickson, Mark     47
Narn Captain                  Hendrickson, Mark     1,24
Narn Captain                  McKenzie, Michael     6,12
Narn Captain                  Grinn, Sandey         34
Narn Mother                   Adair, Diane          43
Narn Navigator                McKenzie, Michael     24
Narn Pilot                    Hendrickson, Mark     22
Narn Pilot #1                 Strauss, Kim          31
Narn Pilot #2                 Chapman, Jonathan     31
Narn Second                   Anglin, Jennifer      34
Narn Second                   Chapman, Jonathan     42
Navigator, Narn               McKenzie, Michael     24
Neeoma Connally               Boyer, Katy           12
Nelson Drake                  Teague, Marshall      4
Neroon                        Vickery, John         17,33
Netter, General               Perry, Rod            11
News Anchor                   Egan, Maggie          22
News Anchor #1                Golzalez, Steven      48
News Anchor #2                Blades, Lynn          48
Newsperson                    Egan, Maggie          1
Noble, Centauri               Hunt, William Dennis  39
Nolan                         Rosario, Jose         11
Norg                          Ditillio, Robert      3
Obnoxious Man                 Flinn, John           46
Ock                           Giannini, Jimm        3
Officer #1, Security          Butto, Chuck          7
Ogilvie                       Toy, Patty            26
Ombuds Wellington             Norton, Jim           15,21
One, Knight                   Scott, Judson         8
Orin Zento                    Snyder, John          12
Orwell                        Nunez, Miguel A., Jr. 26
Other Pilot                   Starcher, Brian       23
Owner, Cart                   O'Brien, Patrick      17
Owner, Store                  Mair, Ossie           36
P.F.C. Dodger                 Marshall, Marie       32
P.F.C. Large                  Foree, Ken            32
PSI Corps Rep                 Toy, Patty            18
Pak'Ma'Ra Ambassador          Brown, Donovan        44
Panicked Man                  Rosales, Tommy        20
Paramedic                     Leong, Wesley         22
Patient, Young Woman          Zimmer, Constance     21
Patrick                       Beer, Daniel          26
Person, Business              Brunt, Natalie        48
Petrov, Stephen               Marshall, David       22
                                 Anthony
Pierce Macabee                Hyde-White, Alex      38
Pierce, Captain Ellis         Canada, Ron           19
Pilgrim                       McKenzie, Michael     5
Pilot                         Mercado, Hector       13
Pilot #1                      Doland, Juli          44
Pilot #1, Narn                Strauss, Kim          31
Pilot #2, Narn                Chapman, Jonathan     31
Pilot, Drazi                  Chapman, Jonathan     45
Pilot, Narn                   Hendrickson, Mark     22
Pilot, Other                  Starcher, Brian       23
Plug, Sgt. Major              Cutrona, Ryan         32
President Clark               McGurk, Gary          24
Prime Minister Malachi,       Throne, Malachi       31
   Centauri
Psi Cop                       Levitt, Judy          30
Psi Cop                       Ames, Granville       37
Psi Cop                       Walker, Andrew        45
Purple Drazi                  Bradley, Neil         25
Pvt. Kleist                   Hunter, Morgan        32
Pvt. Yang                     Chudabala, Art        32
Quantrell, Ronald             Curry, Christopher    37
Rabbi Koslov                  Bikel, Theodore       14
Raider #1                     Hubley, Whip          13
Ramirez, Lt.                  Corri, Nick           33
Ranger                        Lehne, Fredric        31
Ray Galus                     Kimbro, Art           26
Refa                          Forward, William      25,31
Refa, Lord                    Forward, William      39,42
Reno                          Silver, Robert        13
Rep, PSI Corps                Toy, Patty            18
Reporter, ISN                 Egan, Maggie          11,32,40
Reporter, ISN                 Kasdorf, Lenore       14,18-19
Reporter, ISN                 Hutton, Rif           42
Richard Franklin, General     Winfield, Paul        32
Rick                          Cousins, Brian        30
Robert Carlson                Kilpatrick, Patrick   46
Roberts                       Chan, Michael Paul    7
Ronald Quantrell              Curry, Christopher    37
Rose                          Anderson, Lynn        21
Rosen, Dr. Laura              Lockhart, June        21
Rosen, Janice                 McNeil, Kate          21
Rowdy #1                      Heller, Chip          19
Running Man                   De La Paz, Danny      41
Runningdear, Mirriam          Lodge, Linda          15
Sakai, Catherine              Nickson, Julia        5-6,22
Sarah                         De Jesus, Wanda       35
Screaming Woman               Shishino, Fumi        22
Sebastian                     Alexander, Wayne      43
Second Guard                  Crowley, David L.     21
Second, Narn                  Anglin, Jennifer      34
Second, Narn                  Chapman, Jonathan     42
Security Chief Michael        Doyle, Jerry          0-48
   Garibaldi
Security Guard                Hutchison, Daniel     4
Security Guard                Porro, Mark S.        6
Security Guard                Shishino, Fumi        8
Security Guard                Barnett, Craig        18
Security Guard                Williams, Bergen      22
Security Guard                Simms, George         41
Security Guard #1             Wrangler, Greg        23
Security Guard #1 [Jay]       Johnson, Rick         46
Security Guard #2             Valinote, Thomas      23
Security Guard #2             Simmons, Tom          46
Security Man                  Henry, Richard        17
Security Officer #1           Butto, Chuck          7
Senator                       Harrington, Cheryl    22
                                 Francis
Senator                       Swink, Kitty          45
Senator Elise Voudreau        Walter, Jessica       28
Senator Hidoshi               Aleong, Aki           9,12,19
Senator, Centauri             London, Damian        21
Senator, The                  Hampton, Paul         0-1
Seven, Alpha                  McCoy, Douglas E.     20
Sgt. Major Plug               Cutrona, Ryan         32
Shaal Mayan                   Grahn, Nancy Lee      7
Shar, Mila                    Adair, Diane          7
Sheridan, Anna                Toussaint, Beth       24
Sheridan, Captain John        Boxleitner, Bruce     23-48
Sheridan, Elizabeth           Leech, Beverly        24
Shon                          Kaplan, Jonathon      10
                                 Charles
Shooter                       Michael, Christopher  30
Sinclair, Commander Jeffrey   O'Hare, Michael       0-22,31
Smith, Walker                 McKinney, Greg        14
Sofie Ivanova                 Chambers, Marie       16
Soul Hunter #2                Snyder, John          2
Soul Hunter, The              Sheppard, W. Morgan   2
Special Agent #1              Cook, David Austin    11
Stephen Franklin, Dr.         Biggs, Richard        2,4,7-11,15,17,19,21-27,
                                                       29-40,41-42,45-48
Stephen Petrov                Marshall, David       22
                                 Anthony
Stoner, Matthew               Szarabajka, Keith     29
Store Owner                   Mair, Ossie           36
Strongarm #1                  Cervantes, Gary       8
Supervisor Eduardo            Rey, Jose             12,37
   Delvientos, Dock
Susan Ivanova, Commander      Christian, Claudia    26-48
Susan Ivanova, Lt. Commander  Christian, Claudia    1-25
Sykes, Carolyn                Baron, Blaire         0
Ta'Lon                        Teague, Marshall      47
Takarn                        Sisti, Michelan       19
Takashima, Laurel             Tomita, Tamlyn        0
Talia Winters                 Thompson, Andrea      1,3,6,9,17-19,21-24,28-
                                                       30,36,38,41
Taq                           Williams, Paul        34
Taro Isogi                    Shigeta, James        28
Tasaki, Dr.                   Ishida, Jim           18
Tech                          Robertson, Marianne   22
Tech                          Cox, Joshua           26
Tech #1                       Robertson, Marianne   1,3,8-9,11-12,14-20
Tech #1                       Conley, Mark          2
Tech #1                       Farrow, Sav           4
Tech #1                       Cox, Joshua           23,25,28,32-35,37,39,41-
                                                       44
Tech #1, Dome                 Robertson, Marianne   6,13
Tech #1, Med                  Attell, Toni          2
Tech #2                       Hoffman, Linda        0
Tech #2                       Robertson, Marianne   2
Tech #2                       Kelegian, Sylva       4
Tech #2                       Farrow, Sav           9
Tech #2                       Cox, Joshua           17,19
Tech #2                       Sharkey, Debra        23
Tech #2                       Garver, Elisa Beth    32,39,42,44
Tech #2, Dome                 Cox, Joshua           13
Tech #3                       Jackson, Robert Jason 0
Tech #3                       Robertson, Marianne   4
Tech #3, Dome                 Brabec, Anita         13
Tech #3, Dome                 Delgado, Kim          23
Tech, Comm                    Delgado, Kim          26
Tech, Dome                    Robertson, Marianne   5,7
Tech, Med                     Kiriyama-Lem, James   22,24
Tech, Med                     Neuman, Jani          41
Tech, Med                     McGee, Gwen           46
Tech, Med                     Shelby, Larita        47
Tech, Medlab                  Kiriyama-Lem, James   27
Technician                    Weil, Jerry           18
Telepath #1                   Apesanahkwat          30
Telepath #2                   Dilascio, Diane       30
Tensus, Aria                  McKellar, Danica      7
Teronn                        Grinn, Sandey         26
Tharg                         Lee, Stephen          10
The Muta-Do                   Oh, Soon-Teck         14
The Senator                   Hampton, Paul         0-1
The Soul Hunter               Sheppard, W. Morgan   2
Thegras                       Hendrickson, Mark     7
Theo, Brother                 Turenne, Louis        46,48
Thirteen/Psi Cop              Grindlay, Annie       28
Thomas / "Jinxo"              Booker, Tom           15
Timov                         Carr, Jane            29
Tonia Wallace                 Pryor, Mowava         32
Torqueman, Cynthia            Zimmer, Kim           37
Trader                        Struycken, Carel      29
Tragedy                       Bruton, MaCauley      16
Trakis                        Revill, Clive         3
Traveler                      Hayes, William        0
Troublemaker                  Ryan, John St.        47
Tu'Pari                       Kopache, Thomas       5
Turhan, Centauri Emperor      Bey, Turhan           31
Two, Knight                   Neame, Christopher    8
Tyree, Adira                  Udenio, Fabiana       3
Urza Jaddo                    Argenziano, Carmen    39
Vance Hendricks, Dr.          McCallum, David       4
Varn                          Lowens, Curt          18-19
Varner, Del                   Fleck, John           0
Vastor                        McKenzie, Michael     23
Victim, Markab                McKenzie, Michael     40
Vir Cotto                     Furst, Stephen        1,3,5,7,15,22-25,27,29,
                                                       31,34,36,38,39,43-44,
                                                       47
Voudreau, Senator Elise       Walter, Jessica       28
Waiter, Head                  Robinson, Glenn       5
Walker Smith                  McKinney, Greg        14
Wallace, Tonia                Pryor, Mowava         32
Warmaster G'Sten              Sheppard, W. Morgan   42
Warren Keffer                 Rusler, Robert        23,27
Warren Keffer, Lt.            Rusler, Robert        31,36,40,44
Welch, Lou                    Crowley, David L.     11,16,24-25,29,32
