===================================================================
THE OFFICIAL BABYLON 5 CAST LIST
Copyright 1994-1996 Astralight Productions
Compiled by Troy A. Rutter (techy@iastate.edu)
Version 3.22
Last Update: 1/10/96
Covers All of the First Season and Pilot: "The Gathering" - "Chrysalis"
Covers All of Second Season: "Points of Departure" - "The Fall of Night"
Covers Third Season:  "Matters of Honor" - "Passing through Gethsemane"
Permission granted for transmission to electronic information and
        retrieval systems but not for publication in any compilation, be it
        written or electronic, or journal without written permission from
        the author.
Additions/Corrections should be sent to techy@iastate.edu
------------------------------------------------------------------

-----------------------------List by Actor------------------------

ACTOR NAME               CHARACTER NAME              EPISODES
Beaudine, Skip           1st Assistant Director      2-3,5-6,8,12-13,18-19,22-
                                                        23,25,31,33,35-36,38,
                                                        41,44
Beaudine, Skip           Unit Production Manager     27-28,30,40,42,45-48
Bechtel, Marla K.        Assistant Editor            2-3,5-6,8,12-13,18-20,22
Beigle-Bryant, Paul      Computer Imaging            0-48
                            Supervisor
Berlin Symphonic Film    Music Performed by          1-48
   Orchestra, The
Binetski, Menachem       Directed by                 35
Binford, Joe, Jr.        Assistant Editor            0
Bodytech                 Special Effect Contact      6,9,11-14,16-22
                            Lenses by
Brooksbank, Steve        Casting Associate           6,9,11-14,16-22
Brooksbank, Steve,       Casting by                  23-44
   C.S.A.
Brown, Robert Latham     Producer                    0
Brown, Robert Latham     Unit Production Manager     0
Bruice, Ann              Costume Designer            1-43
Bruice Aling, Ann        Costume Designer            44-48
Buckner, Adam            Assistant Editor            39-41,43
Burr, Kathie             Assistant Editor            1,4,7,9-11,14-17,21,23,
                                                        25,27,30-31,33,35,37
Burr, Kathie             First Assistant Editor      36,38-48
Burrell, Everett         Series Make-up Effects      1-44
                            Created by
Burrus, John             Apprentice Editor           45-48
Carlstedt, Peter         Re-recording Mixer          28-43
Carothers, Bruce         Best Boy Grip               45-48
Casey, Shannon           Visual Effects Coordinator  0
Casey, Shannon           Visual Effects Producer     1-48
Champion, Fern, C.S.A.   Casting by                  45-48
Chauvin, Eric            Matte Artist                13-14,18-19,21,23-48
Chong, Ronnie            1st Assistant Director      46
Citron, Lisa M.          Editor                      1,8,15,17,19-20,22
Coffey, Linda            Sound Mixer                 23-35,38-48
Cohen, Harry             Sound Design                0,13-14,16,18-20,23-27
Cole, Barbara            Property Master             1-22
Collins, Stephen         Camera Operator             0
Compton, Richard         Directed by                 0-1,4,7,10,15
Compton, Richard         Co-Producer                 1-5,7-8,10,15
Copeland, John           Co-Producer                 0
Copeland, John           Produced by                 1-48
Copeland, Stewart        Music by                    0
Corring, Douglas         2nd Assistant Director      20-21,36-37,40-48
Corring, Douglas         2nd 2nd Assistant Director  32-35,38-39
Coyle, Kelly             Executive Producers'        23-44
                            Assistant
Coyle, Kelly             Producers' Assistant        38
Cremin, Kevin G.         Unit Production Manager     1-26,29,31-39,41,43-44
Cremin, Kevin G.         Directed by                 28,40,45
Criswell, John           Special Effects Makeup      0
                            Supervisor
Cush, Fionagh            Make-up Effects Artist      45-48
David, Peter             Written by                  29,36
DeRouin, Colin           Set Designer                0
Dennett, James A., II    2nd 2nd Assistant Director  45-46
Di Leo, Mario            Directed by                 27,33,37
Dickson, Billy           Director of Photography     0
Ditillio, Lawrence G.    Story Editor                1-22
Ditillio, Lawrence G.    Executive Story Editor      23-44
Ditillio, Lawrence G.    Written by                  3,9,14,16,28,32,39
Drennan, Kathryn M.      Written by                  12
Durand, Clare            DGA Trainee                 0
Eagle, David J.          Directed by                 38,47
Eilerson, Pamela         2nd Assistant Director      5-6,9,11-19,22-26,31-35,
                                                        38-39
Eilerson, Pamela         1st Assistant Director      20,27,30,42-43,45,47-48
EFX Systems              Digital Sound &             0-48
                            Re-Recording by
Ellison, Harlan          Conceptual Consultant       1-48
Elmer, Marc              Assistant Editor            24,26,28-29,32,34
Esparza, Tracie          Executive Producers'        1-48
                            Assistant
Evans, Alyson            Production Coordinator      0
Fallace, Nancy S.        Set Decorator               1-22
Farr, John K.            Gaffer                      0
Ferrara, Lorraine Senna  Directed by                 21
Ferry, Kim M.            Assistant Hair & Make-up    45-48
Flinn, John C., III,     Director of Photography     1-29,31-39,41,43-48
   A.S.C.
Flinn, John C., III,     Directed by                 14,29,42
   A.S.C.
Fontana, D.C.            Written by                  7,17,26
Foster, David W.         Editor                      24,27,29,33,37-38,41,47
Foundation Imaging       Visual Effects Produced by  0-48
Franke, Christopher      Music Performed by          1-48
Franke, Christopher      Music by                    1-48
Freesh, Bill             Re-Recording Mixer          0-1
Frost, Scott             Written by                  27
Funk, Greg               Make-up Effects Artist      45-48
Garbarino, Mark          Make-up Effects Supervisor  45-48
Gerrold, David           Written by                  10
Gess, Cindy              Boom Operator               0
Gilmore, Ruth            Key Scenic Artist           0
Gordin, Eyal             Camera Operator             1-22
Gording, Jonathan, O.D.  Special Effect Contact      23-48
                            Lens Consultant
Greek, Janet             Directed by                 8,13,18-19,22-23,31,44
Green, Bruce Seth        Directed by                 3,6,9,17
Haigh, Ted               Assistant Art Director      0
Henry, Carol             Script Coordinator          23-48
HeyNeker, Jan M.         Key Grip                    0
Higgins, Joanne          Executive Producers'        23-48
                            Assistant
Hitch, Sherry            Digital Effects Animation   43
Hitch, Sherry            Composite 2D Animator       45-48
Hoien, Erin              Sound Supervisor            1-27
Hoien, Erin              Supervising Sound Editor    28-44
Holly, Kim M.            Costume Supervisor          1-48
Hoover, Mike             Production Accountant       45-48
Howard, Jason            Leadman                     1-22
Huff, Will               Make-up Effects Artist      45-48
Huse, Linda              On Set Costumer             23-28
Huse, Linda              Key Costumer                29-48
Iacovelli, John          Production Designer         0-48
Johnsen, George          Re-Recording Mixer          0
Johnsen, George          Supervising Sound Editor    0
Johnsen, George          Associate Producer          1-48
Johnson, Jon, M.P.S.E.   Sound Design                1-12,15,17,21-22
Johnston, Jim            Directed by                 2,5,11-12,16,20,24,26,30,
                                                        32,34
Kavounas, E.J.           Producers' Assistant        23-48
Kline, Kelsey            Producers' Assistant        1-22
Kobayashi, Alan          Graphic Artist              45-48
Kontra, Joe              2nd Assistant Director      27-30
Kowalski, Peter B.       1st Assistant Camera        1-22
Kowalski, Peter B.       Camera Operator             23-48
Kutchaver, Kevin         Digital Effects Animation   3-28,38,40,42
Langenfeld, Rebecca      Script Coordinator          1-22
Laser-Pacific Media      Electronic Laboratory(tm)   0-48
   Corporation
Laseter, Curtis          Construction Coordinator    23-48
Lebowitz, Adam "Mojo"    Animator                    0
Lebowitz, Adam "Mojo"    Senior Computer Animator    44-48
Ledger, Peter            Conceptual Artist           0
Linsalata, Joseph N.     2nd Assistant Director      0
   (J.J.)
Marx, Christy            Written by                  15
McLane, Haley            Script Supervisor           0-48
McWhirter, David         2nd 2nd Assistant Director  47-48
Meisels, Karen           Asst. Production            0
                            Coordinator
Menichini, Paul          Sound Editor                23-27
Menichini, Paul          Sound Effects Editor        28-32
Menichini, Paul          Sound Designer              33-48
Michaels, Myke           Key Hairstylist             0-8,10-11,15
Michaelson, Brad         2nd 2nd Assistant Director  40-44
Mitchell, Patrick        Sound Mixer                 1-22
Monroe, Steven R.        1st Assistant Camera        0
Mora, Michael            Set Dresser                 0
Morse, Mary Kay          Key Make-up Artist          1-22
Morse-Fischer, Sarah     Production Accountant       1-44
Moser, Michael           Sound Effects Editor        45-48
Muller, Chris            Assistant Art Director      0
Murphy, Fred V., II      Director of Photography     30,40,42
Neale, David H.          Gaffer                      30
Neale, David H.          Best Boy Electric           45-48
Netter, Douglas          Executive Producer          0-48
Netter, Jason            Apprentice Editor           23-35
Netter, Jason            Assistant Editor            36,38,42,44-48
NewTek, Inc.             3D Visual Effects System    0-22
                            Furnished by
NewTek, Inc.             Lightwave 3D(R) Furnished   23-48
                            by
Nimoy, Adam              Directed by                 48
Norkin, Susan            Post Production             0-44
                            Coordinator
Norkin, Susan            Post Production Supervisor  45-48
O'Bright, Terry          Re-recording Mixer          1-44
O'Bright, Terry, C.A.S.  Re-recording Mixer          45-48
O'Connor, Chris          Production Coordinator      1-48
Oberman, Tivoli &        Production Accounting       1-48
   Miller, Ltd.             Services Provided by
Optic Nerve Studios      Series Make-up Effects      1-48
                            Created by
Orr, Todd                Re-recording Mixer          2-22
Pacific Film             Color by                    0-48
   Laboratories
Paladini, Mark, C.S.A.   Casting by                  45-48
PANAVISION(R)            Cameras & Lenses            0-48
Parigi, Robert           Sound Supervisor            45-48
Payne, Richard           Animator                    0
Pepin, Guy               Property Master             0
Posey, Stephen L.        Directed by                 39
PTN Consortium           Author of this film/motion  0-48
                            picture
Pugh, Steve              System Engineer             45-48
Radulovic, John          1st Assistant Director      0-1,4,7,9-11,14-17,21,24,
                                                        26,28-29,32,34,37,39-
                                                        40
Rae, Ted                 On Set Visual Effects       45-48
                            Supervisor
Raymond, Deborah         Art Director                0-22
Roberts, Susan           Wardrobe Key Set            0
Robinson, Skip           Editor                      2,5,10-12,18,21,25,28,31,
                                                        34,36,40,43,46,48
Rodriguez, Paul          Director of Sound Services  0
Rogers, Keith            Re-recording Mixer          44-48
Rosenkranz, Roland G.    Art Director                23-48
Ross, Scott              Asst. to Executive          0
                            Producer
Rossall, Kerry           Stunt Coordinator           0-6,8-48
Rowland, Marge           Production Accountant       0
Rubinstein, Alexandra    Set Decorator               45-48
Saks, Daniel A.          Set Decorator               23-44
Sanders, Suzanne         Key Makeup                  0
Schilz, Michael J.       2nd Assistant Director      1-4,7-8,10
Sherwood, Rob            Makeup Supervisor           0
Sinise, Robert L.,       Edited by                   0
   A.C.E.
Slater, Mary Jo, C.S.A.  Casting by                  0-44
Smith, "The" John        Gaffer                      45-48
Smithe, Traci            Key Hairstylist             9,12-14,16-48
Sokol, Paul              Special Effects Supervisor  45-48
Sparks, Frank J.         Stunts                      0
Speakman, Cathie         Dialogue/ADR Editor         0
Spritz, Neal             Sound Mixer                 36-37
Stears, John             Special Effects             0,4
                            Coordinator
Sternlicht, Suzanne      Editor                      3-4,6-7,9,13-14,16,23,26,
                                                        30,32,35,39,42,44-45
Straczynski, J. Michael  Co-Executive Producer       0
Straczynski, J. Michael  Executive Producer          1-48
Straczynski, J. Michael  Written by                  0-2,4-6,8,13,18-25,30-31,
                                                        33-35,37-38,40-48
Straczynski, J. Michael  Created by                  1-48
Stribling, Rick          Key Grip                    1-30
Suskin, Mitch            Visual Effects Supervisor   1-42
Swain, Richardmark       Animator                    0
Sweeterman, Wally        1st Assistant Camera        23-38,40-48
Tanenbaum, Jim           Sound Mixer                 0
Teaney, Ken              Re-Recording Mixer          0
Teska, John              Senior Computer Animator    44-48
Thackery, Wendy          1st Assistant Camera        39
Thornton, Ron            Visual Effects Designed by  0-48
Trevino, Jesus           Directed by                 41
Trugman, Alan            Wardrobe Supervisor         0
Ultimate Effects         Special Effects by          1-3,5-48
Vejar, Michael Laurence  Directed by                 25,36,43,46
Vernacchio, Dorian       Art Director                0-4,7-8,10
Vulich, John             Series Make-up Effects      1-48
                            Created by
Walters, Mark-Louis      Property Master             23-48
